timestamp_ms,cpu_percent,memory_percent,threads
4377,240,0.0,100
4399,239,0.0,100
4426,240,0.0,100
4449,240,0.0,100
4468,241,0.0,100
4491,240,0.0,100
4512,239,0.0,100
4535,240,0.0,100
4557,240,0.0,100
4577,241,0.0,100
4599,241,0.0,100
4619,240,0.0,100
4638,241,0.0,100
4659,240,0.0,100
4683,240,0.0,100
4709,240,0.0,100
4731,240,0.0,100
4752,241,0.0,100
4775,240,0.0,100
4795,239,0.0,100
4818,240,0.0,100
4841,240,0.0,100
4860,240,0.0,100
4885,240,0.0,100
4906,239,0.0,100
4925,240,0.0,100
4946,240,0.0,100
4967,239,0.0,100
4993,240,0.0,100
5015,240,0.0,100
5036,240,0.0,100
5059,240,0.0,100
5080,239,0.0,100
5104,241,0.0,100
5124,240,0.0,100
5144,240,0.0,100
5169,240,0.0,100
5189,239,0.0,100
5209,240,0.0,100
5231,240,0.0,100
5251,239,0.0,100
5277,240,0.0,100
5298,239,0.0,100
5317,240,0.0,100
5341,240,0.0,100
5361,239,0.0,100
5388,240,0.0,100
5412,239,0.0,100
5437,240,0.0,100
5458,239,0.0,100
5478,239,0.0,100
5502,240,0.0,100
5521,240,0.0,100
5541,240,0.0,100
5563,240,0.0,100
5584,239,0.0,100
5603,240,0.0,100
5625,239,0.0,100
5644,239,0.0,100
