thread_count,elements_count,time_taken,letter
9,15000,1615,U
10,15000,1578,U
11,15000,1546,U
12,15000,1600,U
2,15000,2602,V
3,15000,2243,V
4,15000,2047,V
5,15000,1880,V
6,15000,1783,V
7,15000,1716,V
8,15000,1657,V
9,15000,1614,V
10,15000,1619,V
11,15000,1550,V
12,15000,1649,V
2,30000,10225,G
3,30000,8850,G
4,30000,7976,G
5,30000,7423,G
6,30000,7010,G
7,30000,6737,G
8,30000,6512,G
9,30000,6505,G
10,30000,6510,G
11,30000,6350,G
12,30000,6295,G
2,30000,10217,H
3,30000,8815,H
4,30000,7976,H
5,30000,7403,H
6,30000,7045,H
7,30000,6738,H
8,30000,6535,H
9,30000,6446,H
10,30000,6564,H
11,30000,6469,H
12,30000,6439,H
2,30000,10236,I
3,30000,8833,I
4,30000,7978,I
5,30000,7384,I
6,30000,7032,I
7,30000,6729,I
8,30000,6524,I
9,30000,6426,I
10,30000,6334,I
11,30000,6422,I
12,30000,6356,I
2,30000,10236,J
3,30000,8812,J
4,30000,7992,J
5,30000,7401,J
6,30000,7009,J
7,30000,6732,J
8,30000,6534,J
9,30000,6435,J
10,30000,6617,J
11,30000,6472,J
12,30000,6321,J
2,30000,10326,L
3,30000,8890,L
4,30000,8032,L
5,30000,7467,L
6,30000,7107,L
7,30000,6764,L
8,30000,6554,L
9,30000,6443,L
10,30000,6456,L
11,30000,6403,L
12,30000,6360,L
2,30000,10264,M
3,30000,8919,M
4,30000,8061,M
5,30000,7457,M
6,30000,7112,M
7,30000,6902,M
8,30000,6773,M
9,30000,6778,M
10,30000,6508,M
11,30000,6544,M
12,30000,6429,M
2,30000,8441,N
3,30000,7217,N
4,30000,6654,N
5,30000,6371,N
6,30000,6272,N
7,30000,6296,N
8,30000,6207,N
9,30000,6228,N
10,30000,6242,N
11,30000,6238,N
12,30000,6313,N
2,30000,10271,O
3,30000,8848,O
4,30000,7961,O
5,30000,7422,O
6,30000,7036,O
7,30000,6715,O
8,30000,6505,O
9,30000,6418,O
10,30000,6470,O
11,30000,6356,O
12,30000,6288,O
2,30000,10259,P
3,30000,8841,P
4,30000,7981,P
5,30000,7414,P
6,30000,7034,P
7,30000,6716,P
8,30000,6485,P
9,30000,6454,P
10,30000,6442,P
11,30000,6423,P
12,30000,6307,P
2,30000,10310,R
3,30000,8893,R
4,30000,8049,R
5,30000,7462,R
6,30000,7077,R
7,30000,6753,R
8,30000,6530,R
9,30000,6399,R
10,30000,6547,R
11,30000,6347,R
12,30000,6361,R
2,30000,10302,S
