thread_count,elements_count,time_taken
1,5000,345
2,5000,245
3,5000,214
4,5000,193
5,5000,191
6,5000,187
7,5000,173
8,5000,173
9,5000,170
10,5000,171
11,5000,166
12,5000,214
1,15000,3021
2,15000,2146
3,15000,1825
4,15000,1672
5,15000,1592
6,15000,1535
7,15000,1501
8,15000,1455
9,15000,1472
10,15000,1410
11,15000,1390
12,15000,1406
1,30000,12032
2,30000,8413
3,30000,7218
4,30000,6622
5,30000,6390
6,30000,6146
7,30000,5948
8,30000,5818
9,30000,5658
10,30000,5833
11,30000,5581
12,30000,5541
